cMyct,20
Cycdt,20
cMyc,40
GM,1.35565
r31switch,1
Mass,1.68776
cycD,0.43929
ERG,0.0121809
p27_cycA_Cdk2,0.0356927
p27,0.00922806
Cdc20,0.00220177
p27_cycE_Cdk2,0.000542587
cycE,0.0229112
cycA,1.4094
cycB,2.72898
p27_cycD_Cdk2,0.010976
Cdh1,0.000653278
DRG,0.900533
PPX,1
IEP,0.154655
Cdc20t,2.36733
E2F_Rb,0.00478911
E2F,0.989986
HypoP_Rb,9.97574
pE2F_Rb,0.0192822
pE2F,3.98594
Rb,0.000190871
fateSwitch,0
Bcl2t,277
L,1
