parameter,value
k1_RelAp50binding,0.0019
k1_RelAnp50nbinding,0.0019
k1_RelAp52binding,0.00096
k1_RelAnp52nbinding,0.00096
k1_RelBp52binding,0.00096
k1_RelBnp52nbinding,0.00096
k1_RelBp50binding,0.00096
k1_RelBnp50nbinding,0.00096
k1_cRelp50binding,0.00096
k1_cRelnp50nbinding,0.00096
k1_cRelp52binding,0.00096
k1_cRelnp52nbinding,0.00096
k1_p50p50binding,0.0018
k1_p50np50nbinding,0.0018
k1_p52p52binding,0.0018
k1_p52np52nbinding,0.0018
k1_cRelp100binding,0.00096
k1_cRelnp100nbinding,0.00096
k1_RelAp50unbinding,0.019
k1_RelAnp50nunbinding,0.0019
k1_RelAp52unbinding,0.948
k1_RelAnp52nunbinding,0.0019
k1_RelBp52unbinding,0.0144
k1_RelBnp52nunbinding,0.00144
k1_RelBp50unbinding,0.0046
k1_RelBnp50nunbinding,0.00046
k1_cRelp50unbinding,0.0014
k1_cRelnp50nunbinding,0.00014
k1_cRelp52unbinding,0.0014
k1_cRelnp52nunbinding,0.00014
k1_p50p50unbinding,0.054
k1_p50np50nunbinding,0.054
k1_p52p52unbinding,0.054
k1_p52np52nunbinding,0.054
k1_cRelp100unbinding,0.0014
k1_cRelnp100nunbinding,0.00014
k1_NFkBImport,5.4
k1_RelBP52Import,5.4
k1_NFkBExport,0.0048
k1_freeNFkBDeg,0.00024
k1_IkBaRelA50Ass,0.003
k1_IkBbRelA50Ass,0.000213
k1_IkBeRelA50Ass,0.0013
k1_IkBdRelA50Ass,0.0006
k1_IkBaRelB50Ass,0.003
k1_IkBbRelB50Ass,0
k1_IkBeRelB50Ass,0.0013
k1_IkBdRelB50Ass,6.00E-05
k1_IkBaRelB52Ass,0
k1_IkBbRelB52Ass,0
k1_IkBeRelB52Ass,0
k1_IkBdRelB52Ass,0.0006
k1_IkBacRel100Ass,0
k1_IkBbcRel100Ass,0
k1_IkBecRel100Ass,0
k1_IkBdcRel100Ass,0
k1_IkBacRel50Ass,0.003
k1_IkBbcRel50Ass,0.000213
k1_IkBecRel50Ass,0.0013
k1_IkBdcRel50Ass,0.0006
k1_IkBacRel52Ass,0.003
k1_IkBbcRel52Ass,0.000213
k1_IkBecRel52Ass,0.0013
k1_IkBdcRel52Ass,0.0198
k1_IkBaRelA52Ass,0.003
k1_IkBbRelA52Ass,0.000213
k1_IkBeRelA52Ass,0.0013
k1_IkBdRelA52Ass,0.0006
k1_IkBaRelA50Diss,0.0006
k1_IkBbRelA50Diss,0.0169
k1_IkBeRelA50Diss,0.006
k1_IkBdRelA50Diss,0.00084
k1_IkBaRelB50Diss,0.0006
k1_IkBbRelB50Diss,0
k1_IkBeRelB50Diss,0.006
k1_IkBdRelB50Diss,0.00084
k1_IkBaRelB52Diss,0
k1_IkBbRelB52Diss,0
k1_IkBeRelB52Diss,0
k1_IkBdRelB52Diss,0.00084
k1_IkBacRel100Diss,0
k1_IkBbcRel100Diss,0
k1_IkBecRel100Diss,0
k1_IkBdcRel100Diss,0
k1_IkBacRel50Diss,0.0048
k1_IkBbcRel50Diss,0.0169
k1_IkBecRel50Diss,2.68E-05
k1_IkBdcRel50Diss,0.00084
k1_IkBacRel52Diss,0.0048
k1_IkBbcRel52Diss,0.0169
k1_IkBecRel52Diss,2.68E-05
k1_IkBdcRel52Diss,0.00084
k1_IkBaRelA52Diss,0.0006
k1_IkBbRelA52Diss,0.0169
k1_IkBeRelA52Diss,0.006
k1_IkBdRelA52Diss,0.00084
k1_RelAp50IkBanucImport,0.276
k1_RelAp50IkBbnucImport,0.0276
k1_RelAp50IkBenucImport,0.138
k1_RelAp50IkBdnucImport,0.0276
k1_RelBp50IkBanucImport,0.276
k1_RelBp50IkBbnucImport,0.0276
k1_RelBp50IkBenucImport,0.138
k1_RelBp50IkBdnucImport,0.0276
k1_RelBp52IkBanucImport,0
k1_RelBp52IkBbnucImport,0
k1_RelBp52IkBenucImport,0
k1_RelBp52IkBdnucImport,0
k1_cRelp100IkBanucImport,0
k1_cRelp100IkBbnucImport,0
k1_cRelp100IkBenucImport,0
k1_cRelp100IkBdnucImport,0
k1_cRelp50IkBanucImport,0.276
k1_cRelp50IkBbnucImport,0.0276
k1_cRelp50IkBenucImport,0.138
k1_cRelp50IkBdnucImport,0.0276
k1_cRelp52IkBanucImport,0.276
k1_cRelp52IkBbnucImport,0.276
k1_cRelp52IkBenucImport,0.138
k1_cRelp52IkBdnucImport,0.0276
