Rate Law Name, Rate law definition
Mass Action,[s1] * {k1}
Mass Action Modifier,[s1] * [mod1]
Three act one rep,(((({k1} / {k2}) * {k3} * [mod1]^{k4}) / (({k1} * {k5})^{k4} + [mod1]^({k4}))+{k6} ) + ((({k1} / {k7}) * {k3} * [mod2]^{k4}) / (({k1} * {k8})^{k4} + [mod2]^({k4}))) + ((({k1} / {k9}) * {k3} * [mod3]^{k4}) / (({k1} * {k10})^{k4} + [mod3]^({k4}))))*(({k11}^{k12})/({k11}^{k12}+[mod4]^{k12}))
Three act no rep,(((({k1} / {k2}) * {k3} * [mod1]^{k4}) / (({k1} * {k5})^{k4} + [mod1]^({k4}))+{k6} ) + ((({k1} / {k7}) * {k3} * [mod2]^{k4}) / (({k1} * {k8})^{k4} + [mod2]^({k4}))) + ((({k1} / {k9}) * {k3} * [mod3]^{k4}) / (({k1} * {k10})^{k4} + [mod3]^({k4}))))
Two act one rep,(((({k1} / {k2}) * {k3} * [mod1]^{k4}) / (({k1} * {k5})^{k4} + [mod1]^({k4}))+{k6} ) + ((({k1} / {k7}) * {k3} * [mod2]^{k4}) / (({k1} * {k8})^{k4} + [mod2]^({k4}))))*(({k9}^{k10})/({k9}^{k10}+[mod3]^{k10}))
Const Exp one rep,{k1}*(({k2}^{k3})/({k2}^{k3}+[mod1]^{k3}))
Two act two rep,(({k1}*{k2}*[mod1]^{k3})/(({k1}*{k4})^{k3}+[mod1]^{k3}))*(({k5}*{k6}*[mod2]^{k7})/(({k5}*{k6})^{k7}+[mod2]^{k7}))*(({k8}^{k9})/({k8}^{k9}+[mod3]^{k9}+[mod4]^{k9}))
AID activation,(({k1}*{k2}*([mod1]*[mod2]^2)^{k3})/(({k1}*{k4})^{k3}+([mod1]*[mod2]^2)^({k3})))+((({k1}*{k2}*[mod3]^{k3})/(({k1}*{k5})^{k3}+[mod3]^({k3})))*2)+((({k1}*{k2}*[mod4]^{k3})/(({k1}*{k6})^{k3}+[mod4]^({k3}))))
Const Exp,{k1}
