parameter,value
vmax_IkBd,0.6
Km_IkBd,100
k_IkBDeg,0.00024
k_NFkBDeg,0.00024
k_tIkBb,0.0012
kmax_IkBaSynth,0.0048
k1_IkBaSynth,200
Kd1_IkBaSynth,150
k2_IkBaSynth,200
Kd2_IkBaSynth,150
kh_IkBaSynth,1.1
kmax_IkBeSynth,7.2E-05
k1_IkBeSynth,25
Kd1_IkBeSynth,150
k2_IkBeSynth,25
Kd2_IkBeSynth,150
k3_IkBeSynth,250
Kd3_IkBeSynth,150
k4_IkBeSynth,250
Kd4_IkBeSynth,150
delay_IkBeSynth,45
kh_IkBeSynth,1.1
k_tIkBaDeg,0.0288
k_tIkBbDeg,0.00288
k_tIkBeDeg,0.00384
k_IkBTsl,12
k_IkBadeg,0.12
k_IkBbdeg,0.12
k_IkBedeg,0.01155
k_IkBddeg,0.003
k_IkBanucImport,0.06
k_IkBbnucImport,0.009
k_IkBenucImport,0.045
k_IkBdnucImport,0.045
k_IkBannucExport,0.012
k_IkBbnnucExport,0.012
k_IkBennucExport,0.012
k_IkBdnnucExport,0.012
vmax_p100,0.05
Km_p100,10
k_RelASynth,3.6E-05
kmax_p50Synth,2.88E-05
k1_p50Synth,20
Kd1_p50Synth,150
k2_p50Synth,20
Kd2_p50Synth,150
k3_p50Synth,20
Kd3_p50Synth,150
k4_p50Synth,20
Kd4_p50Synth,150
delay_p50Synth,60
kh_p50Synth,1
kmax_RelBSynth,4.2E-06
k1_RelBSynth,5
Kd1_RelBSynth,50
k2_RelBSynth,5
Kd2_RelBSynth,50
k3_RelBSynth,100
Kd3_RelBSynth,50
k4_RelBSynth,100
Kd4_RelBSynth,50
delay_RelBSynth,60
kh_RelBSynth,1
kmax_p100Synth,8E-07
k1_p100Synth,1000
Kd1_p100Synth,50
k2_p100Synth,1000
Kd2_p100Synth,50
k3_p100Synth,1500
Kd3_p100Synth,50
k4_p100Synth,1500
Kd4_p100Synth,50
delay_p100Synth,240
kh_p100Synth,1
kmax_cRelSynth,3.6E-06
k1_cRelSynth,200
Kd1_cRelSynth,150
k2_cRelSynth,200
Kd2_cRelSynth,150
k3_cRelSynth,200
Kd3_cRelSynth,150
k4_cRelSynth,200
Kd4_cRelSynth,150
delay_cRelSynth,720
kh_cRelSynth,1
k_tRelAdeg,0.00288
k_tp50deg,0.00288
k_tRelBdeg,0.00288
k_tp100deg,0.00096
k_tcReldeg,0.00096
k_monTsl,12
k_monDeg,0.0228
k_NIKSynth,0.042
k_p100Dimerization,0.012
k_p100Dissociation,0.012
k_onNIKp100,0.005
k_offNIKp100,0.00024
k_NIKp100Processing,0.5
k_NIKDeltaDeg,300
k_NIKConstDeg,0.0462
ikk_ikkactivity,1
nik_deg_mod,1
